"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops"
"111160101",2009,8,1,19,12,1,0,0,0,0,0
"111160102",2009,24,0,19,29,3,0,0,0,0,0
"111160104",2009,15,0,14,15,1,0,0,0,0,1
"111160105",2009,2,0,0,2,1,0,0,0,0,0
"111160106",2009,32,7,7,43,2,0,0,0,0,0
"111160108",2009,10,0,3,37,2,0,0,0,0,0
"111160109",2009,11,2,9,18,1,0,0,0,0,2
"111160113",2009,10,1,4,11,2,0,0,0,0,0
"111160115",2009,41,3,37,64,4,0,0,1,0,1
"111160121",2009,10,1,62,18,2,0,0,0,0,0
"111160122",2009,12,0,22,13,1,0,0,0,0,1
"111160123",2009,20,3,9,26,1,0,0,0,0,0
"111160124",2009,11,0,10,26,0,0,0,0,0,0
"111160125",2009,6,1,45,10,1,0,0,0,0,0
"111160128",2009,22,0,14,27,2,0,0,0,0,0
"111160130",2009,24,4,135,33,3,0,0,0,0,1
"111160131",2009,20,1,49,22,2,0,0,0,0,0
"111160133",2009,16,3,29,32,1,0,0,0,0,3
"111160142",2009,14,0,1,30,2,0,0,0,0,0
"111160144",2009,9,1,62,15,2,0,0,0,0,0
"111160145",2009,17,3,3,21,1,0,0,0,0,0
"111160146",2009,13,1,9,14,3,0,0,0,0,0
"111160149",2009,46,2,36,55,6,0,0,0,0,0
"111160152",2009,15,1,30,19,1,0,0,0,0,2
"111160153",2009,11,0,20,19,2,0,0,1,0,0
"111160154",2009,10,0,9,10,1,0,0,0,0,0
"111160155",2009,17,1,30,28,0,0,0,0,0,1
"111160156",2009,28,4,27,31,4,0,0,0,0,0
"111160157",2009,17,1,14,29,3,0,0,0,0,0
"111160158",2009,26,0,3,55,2,0,0,1,0,0
"111160159",2009,10,1,6,13,1,0,0,0,0,0
"111160160",2009,17,1,23,23,0,0,0,0,0,2
"111160161",2009,30,2,34,39,5,0,0,0,0,0
"111160162",2009,27,1,25,35,4,0,0,0,0,0
"111160163",2009,37,1,35,45,3,0,0,1,0,0
"111160164",2009,27,2,20,51,2,0,0,0,0,3
"111160201",2009,10,0,2,10,1,0,0,0,0,0
"111160205",2009,15,1,5,29,1,0,0,0,0,0
"111160209",2009,11,1,3,14,2,0,0,0,0,0
"111160211",2009,1,0,0,6,1,0,0,0,0,0
"111160214",2009,33,0,7,31,1,0,0,0,0,0
"111160215",2009,4,0,0,4,0,0,0,0,0,0
"111160217",2009,17,1,0,15,1,0,0,0,3,0
"111160218",2009,22,0,18,34,1,0,0,0,1,0
"111160220",2009,4,0,0,5,1,0,0,0,1,0
"111160221",2009,14,1,4,17,2,0,0,0,0,0
"111160222",2009,9,0,8,7,0,0,0,0,0,0
"111160223",2009,32,0,17,63,2,0,0,0,0,0
"111160224",2009,12,0,2,8,1,0,0,0,0,0
"111160225",2009,37,1,7,49,2,0,0,0,0,0
"111160301",2009,13,0,8,5,0,0,0,0,0,0
"111160304",2009,8,1,5,8,1,0,0,0,0,0
"111160305",2009,8,0,2,9,1,0,0,0,0,0
"111160307",2009,8,0,0,0,1,0,0,0,0,0
"111160308",2009,7,1,7,13,1,0,0,0,0,0
"111160311",2009,15,2,11,15,3,0,0,0,0,0
"111160313",2009,6,0,14,5,1,0,0,0,0,0
"111160317",2009,16,0,22,17,0,0,0,0,0,0
"111160319",2009,7,0,1,1,9,0,0,0,0,0
"111160320",2009,10,0,7,7,1,0,0,0,0,0
"111160321",2009,17,2,2,17,2,0,0,0,0,0
"111160322",2009,6,0,3,5,1,0,0,0,0,0
"111160323",2009,14,0,30,16,0,0,0,0,0,0
"111160401",2009,14,1,0,14,1,0,0,0,0,0
"111160404",2009,27,1,27,35,1,0,0,0,0,0
"111160405",2009,15,1,13,22,1,0,0,0,0,0
"111160406",2009,19,1,3,24,2,0,0,0,0,0
"111160407",2009,17,1,13,16,2,0,0,0,0,0
"111160410",2009,9,2,8,9,2,0,0,0,0,0
"111160411",2009,45,2,15,67,3,0,0,0,0,0
"111160415",2009,109,1,59,149,4,0,0,0,0,1
"111160418",2009,18,1,35,32,1,0,0,0,0,0
"111160420",2009,32,2,35,58,2,0,0,0,0,0
"111160421",2009,10,1,8,11,1,0,0,0,0,0
"111160422",2009,15,0,6,18,2,0,0,0,0,0
"111160423",2009,17,2,0,15,1,0,0,0,0,0
"111160424",2009,31,5,43,54,4,0,0,0,0,0
"111160427",2009,16,0,12,21,1,0,0,0,0,0
"111160428",2009,38,1,21,68,4,0,0,0,0,9
"111160431",2009,8,1,5,12,0,0,0,0,0,1
"111160434",2009,35,2,4,32,3,0,0,0,0,0
"111160435",2009,17,1,24,30,3,0,0,0,0,0
"111160436",2009,23,2,13,30,3,0,0,0,0,0
"111160437",2009,17,1,76,39,4,0,0,0,0,0
"111160438",2009,7,0,12,13,1,0,0,0,0,0
"111160439",2009,28,3,20,41,2,0,0,0,0,1
"111160440",2009,3,1,2,5,1,0,0,0,0,0
"111160501",2009,17,1,26,16,4,0,0,0,0,0
"111160503",2009,20,0,49,39,3,0,0,0,0,0
"111160505",2009,18,1,5,22,5,0,0,0,0,0
"111160507",2009,15,0,78,46,3,0,0,0,0,0
"111160510",2009,15,0,66,20,2,0,0,0,0,0
"111160513",2009,4,0,12,37,1,0,0,0,0,0
"111160514",2009,14,0,12,34,4,0,0,0,0,0
"111160515",2009,5,0,25,36,2,0,0,0,0,0
"111160519",2009,11,1,8,14,2,0,0,0,32,0
"111160520",2009,24,1,21,23,5,0,0,0,0,0
"111160521",2009,7,1,67,19,2,0,0,0,0,0
"111160522",2009,18,2,87,41,4,0,0,0,0,0
"111160523",2009,24,1,11,21,5,0,0,1,0,0
"111160524",2009,26,1,87,94,4,0,0,0,0,0
"111160525",2009,26,1,36,185,6,0,0,0,0,0
"111160526",2009,14,0,56,28,4,0,0,0,0,0
"111160601",2009,23,4,0,32,6,0,0,0,0,0
"111160602",2009,22,1,44,22,1,0,0,1,0,0
"111160603",2009,19,1,0,22,2,0,0,0,0,0
"111160604",2009,5,1,5,5,1,0,0,0,0,0
"111160606",2009,5,1,0,7,1,0,0,0,0,0
"111160611",2009,32,4,1,41,6,0,0,0,0,0
"111160612",2009,10,0,1,10,2,0,0,0,0,0
"111160613",2009,7,0,11,7,0,0,0,1,0,0
"111160614",2009,17,0,30,50,0,0,0,1,0,0
"111160619",2009,38,3,0,48,5,0,0,0,0,0
"111160623",2009,6,1,0,9,1,0,0,0,0,0
"111160624",2009,7,2,0,11,3,0,0,0,0,0
"111160626",2009,47,1,63,41,1,0,0,8,0,0
"111160627",2009,19,3,10,20,3,0,0,0,0,0
"111160628",2009,21,3,15,24,7,0,0,0,0,0
"111160629",2009,4,0,12,15,1,0,0,0,0,0
"111160630",2009,15,4,0,18,3,0,0,0,0,0
"111160701",2009,56,2,9,93,4,0,1,0,1,1
"111160703",2009,61,1,0,74,6,0,0,0,0,3
"111160704",2009,48,2,12,74,7,0,0,2,0,0
"111160707",2009,44,1,21,86,1,0,0,0,0,4
"111160708",2009,9,1,0,65,1,0,0,0,2,0
